SAN,In Use?,split cert already created?,us-east-1 or us-west-2,client_id,aws_profile,local_domain,servers_added,name_filters
*.sltcloud.aspgov.com,yes,,,SLT,PALegacyFinEntSLT,slt.cloud.lcl,,"trkwb,etawb"
*.enccloud.aspgov.com,yes,,,ENC,PALegacyFinEntENC,enc.cloud.lcl,,"trkwb,etawb"
*.hiccloud.aspgov.com,yes,,,HIC,PALegacyFinEntHIC,hic.cloud.lcl,,"trkwb,etawb"
*.compcloud.aspgov.com,yes,,,COMP,PALegacyFinEntCOMP,comp.cloud.lcl,,"trkwb,etawb"
*.smiacloud.aspgov.com,yes,,,SMIA,PALegacyFinEntSMIA,smia.cloud.lcl,,"trkwb,etawb"
*.lkwocloud.aspgov.com,yes,,,LKWO,PALegacyFinEntLKWO,lkwo.cloud.lcl,,"trkwb,etawb"
*.owacloud.aspgov.com,yes,yes,,OWA,PALegacyFinEntOWA,owa.cloud.lcl,,
*.oclscloud.aspgov.com,yes,,,OCLS,PALegacyFinEntOCLS,ocls.cloud.lcl,,"trkwb,etawb"
*.esccloud.aspgov.com,no,,,ESC,PALegacyFinEntESC,esc.cloud.lcl,,
*.crctcloud.aspgov.com,yes,,,CRCT,PALegacyFinEntCRCT,crct.cloud.lcl,,"trkwb,etawb"
*.tmlcloud.aspgov.com,yes,,,TML,PALegacyFinEntTML,tml.cloud.lcl,,"trkwb,etawb"
*.sdspcloud.aspgov.com,yes,,,SDSP,PALegacyFinEntSDSP,sdsp.cloud.lcl,,"trkwb,etawb"
*.lvrncloud.aspgov.com,yes,,,LVRN,PALegacyFinEntLVRN,lvrn.cloud.lcl,,"trkwb,etawb"
*.aspgov.com,yes,,,COMMDEV,PALegacyCommDev,aspgov.pri,,trkwb
*.aspgov.com,yes,,,NAVILINE,PALegacyNaviLine,aspgov.pri,,fusion
*.aspgov.com,yes,,,ANALYTICS,PALegacyAnalytics,aspgov.pri,,cogwb
